Player,season,season_type,team,mp,raptor_total,war_total,predator_total,vorp_reg,vorp_post,G_y,post_mpg
Mike Conley,2022,RS,UTA,2058,4.043960773915159,7.086848195415415,4.224164406179633,2.7,-0.1,6,
Pat Connaughton,2022,RS,MIL,1691,0.5719261195001527,2.850737397405872,0.7835055926922145,1.4,0.3,12,
Jae Crowder,2022,RS,PHO,1886,1.637364795543657,4.237048359322936,2.862026157325602,1.5,0.1,13,
Stephen Curry,2022,RS,GSW,2211,6.095215436813396,10.14847900700914,7.097206034703041,4.4,1.9,22,
Dewayne Dedmon,2022,RS,MIA,1065,-1.332013252740082,0.768358001620841,-1.748455434858325,0.3,-0.1,14,
DeMar DeRozan,2022,RS,CHI,2743,1.695888937724582,6.212025740093527,0.8740677742256109,3.1,0.1,5,
Ayo Dosunmu,2022,RS,CHI,2110,-3.514443596638292,-0.8230545423923719,-2.854644352867507,0.0,-0.1,5,
Kevin Durant,2022,RS,BRK,2047,5.652267600277407,8.916096905941089,5.148852783449908,4.8,0.0,4,
Anthony Edwards,2022,RS,MIN,2466,1.765597917251069,5.697930373977814,2.799940013764668,2.0,0.3,6,
Joel Embiid,2022,RS,PHI,2297,8.020146016378526,12.6957236187489,8.4305782990836,6.5,0.2,10,
Dorian Finney-Smith,2022,RS,DAL,2644,0.7584611615666922,4.669524608034175,1.731005632029579,1.9,0.5,18,
Danilo Gallinari,2022,RS,ATL,1672,-0.8212023178474137,1.623433062427945,-0.9647816614096912,0.8,0.0,5,
Rudy Gobert,2022,RS,UTA,2120,7.198176197871868,10.75221259559764,6.275120614771546,3.6,0.2,6,
Aaron Gordon,2022,RS,DEN,2376,0.1024868508235299,3.455892129925149,-0.317187932583858,0.9,0.0,5,
Devonte' Graham,2022,RS,NOP,2162,-0.693965747671275,2.255766003906034,-0.2130474497358856,0.5,0.0,6,
Danny Green,2022,RS,PHI,1353,0.8906983153797521,2.514186158260696,1.817632722999289,0.5,0.3,12,
Draymond Green,2022,RS,GSW,1329,3.344849384921633,4.210573011809366,3.694524615404064,1.8,0.5,22,
JaMychal Green,2022,RS,DEN,1085,-2.609553486854986,0.0777798778682748,-2.067458018757562,0.0,-0.1,5,
Javonte Green,2022,RS,CHI,1519,1.72540559675064,3.456735460873763,1.308281793536647,0.8,-0.1,5,
