Player,Age,season,season_type,raptor_total,war_total,predator_total,years_league,years_playoff,performance_score
Anthony Davis,28,2018,PO,0.6347138903850036,0.32668168016065985,0.7213025899179343,6,2,1.6826981604635978
Anthony Davis,28,2020,PO,0.7546554882981091,1.0,0.7467531321036991,9,3,2.5014086204018082
Anthony Davis,28,2021,PO,0.5871287474789353,0.17573755227408783,0.5763269620642256,11,4,1.3391932618172486
Anthony Edwards,20,2022,PO,0.6003690499210574,0.21511066418587982,0.6808196689430872,2,1,1.4962993830500244
Austin Rivers,29,2015,PO,0.5035938999162467,0.10475308607512482,0.46888170321923517,2,1,1.0772286892106067
Austin Rivers,29,2016,PO,0.5134749757823206,0.12351058465420951,0.41551457765278355,5,2,1.0525001380893135
Austin Rivers,29,2017,PO,0.47110879746367357,0.10782420261474955,0.48041092831822835,7,3,1.0593439283966515
Austin Rivers,29,2019,PO,0.5537369557330651,0.161541010990149,0.5879064189150331,10,4,1.3031843856382472
Austin Rivers,29,2020,PO,0.5309125387023157,0.13740527644238856,0.5348849257666667,13,5,1.203202740911371
Austin Rivers,29,2021,PO,0.45396231156641104,0.024238474969532936,0.3827537929267127,15,6,0.8609545794626567
Austin Rivers,29,2022,PO,0.633873130980462,0.19011807452830853,0.6820016961815641,18,7,1.5059929016903348
Avery Bradley,31,2015,PO,0.5885486992663819,0.17339777213408547,0.5705175554792629,2,1,1.3324640268797303
Avery Bradley,31,2016,PO,0.6331666755510642,0.14970013046006247,0.6132790134852092,4,2,1.3961458194963359
Avery Bradley,31,2017,PO,0.5098960557965674,0.08154560704134581,0.4838827902933376,6,3,1.075324453131251
Ayo Dosunmu,22,2022,PO,0.5006474000768635,0.12154776136526778,0.4240228807461266,1,1,1.0462180421882579
Bam Adebayo,24,2018,PO,0.4609245934757692,0.10748036664519009,0.43026660611054524,1,1,0.9986715662315045
Bam Adebayo,24,2020,PO,0.6278663664076861,0.4750136797040345,0.6924491147791743,4,2,1.7953291608908948
Bam Adebayo,24,2021,PO,0.5329021012537593,0.1370064894546159,0.5296939430982495,6,3,1.1996025338066247
Bam Adebayo,24,2022,PO,0.6285774365265673,0.43686044833461557,0.63160681489481,8,4,1.6970446997559927
Ben McLemore,28,2020,PO,0.6197857718116573,0.1920294739384735,0.6133972159146018,7,1,1.4252124616647326
Ben McLemore,28,2021,PO,0.4584293102736924,0.12033692666031431,0.40574218191921363,9,2,0.9845084188532204
Bobby Portis,26,2017,PO,0.5854519989008377,0.1675389618156925,0.5201533852750678,2,1,1.2731443459915979
Bobby Portis,26,2021,PO,0.6171368143405562,0.29670515651489227,0.609381803675545,8,2,1.5232237745309933
Bobby Portis,26,2022,PO,0.6185194289554639,0.26798795108760937,0.5781152973387893,10,3,1.4646226773818625
Bones Hyland,21,2022,PO,0.502366784692786,0.1222039132644665,0.5466345020900262,1,1,1.1712052000472788
Bradley Beal,28,2014,PO,0.6527310361451985,0.41542263237197585,0.7413630227602703,1,1,1.8095166912774445
Bradley Beal,28,2015,PO,0.6310329793478968,0.34509068163406736,0.6373857231981902,3,2,1.6135093841801544
Bradley Beal,28,2017,PO,0.6626847282186039,0.471639508386777,0.665340364321493,6,3,1.799664600926874
Bradley Beal,28,2018,PO,0.4890868035959849,0.09259625269194272,0.5194868353890578,8,4,1.1011698916769854
Bradley Beal,28,2021,PO,0.6265142246840414,0.23020837972413033,0.6421610638049154,12,5,1.4988836682130873
Brandon Clarke,25,2021,PO,0.6635027706289693,0.13820254251160327,0.6169136595349402,2,1,1.4186189726755127
Brandon Clarke,25,2022,PO,0.6204915047937091,0.2705998582347602,0.5860084722966328,4,2,1.477099835325102
