Player,Age,season,season_type,raptor_total,war_total,predator_total,years_league,years_playoff,performance_score
Ayo Dosunmu,22,2022,RS,0.39861482448843794,0.03714756203843289,0.3386188255128241,2,1,0.7743812120396949
Bam Adebayo,24,2018,RS,0.4874497682402929,0.12256582931008488,0.3718102714318739,2,1,0.9818258689822517
Bam Adebayo,24,2020,RS,0.5655618432966524,0.2783977735475292,0.4809138989873251,5,2,1.3248735158315068
Bam Adebayo,24,2021,RS,0.5845918097740279,0.2808147610633308,0.5112909405141188,7,3,1.3766975113514777
Bam Adebayo,24,2022,RS,0.6373182063760676,0.3095236003890644,0.5850994531787578,9,4,1.5319412599438897
Bobby Portis,26,2017,RS,0.39914137566077523,0.0545860927363107,0.30337416743572354,3,1,0.7571016358328095
Bobby Portis,26,2021,RS,0.5976469829187222,0.21553604995403702,0.537999345591238,9,2,1.3511823784639971
Bobby Portis,26,2022,RS,0.5738160273010211,0.25565595807698016,0.5129190328775042,11,3,1.3423910182555054
Bogdan Bogdanovic,29,2021,RS,0.6333150684315374,0.23671585262689165,0.5822679150128366,5,1,1.4522988360712656
Bogdan Bogdanovic,29,2022,RS,0.5835482454736136,0.24998393222443455,0.555072843279631,7,2,1.3886050209776792
Bojan Bogdanovic,32,2015,RS,0.45625897499328644,0.10659918834279505,0.36033201375652346,2,1,0.923190177092605
Bojan Bogdanovic,32,2017,RS,0.37432223045177615,0.024323963300957076,0.2611809287421569,5,2,0.6598271224948902
Bojan Bogdanovic,32,2018,RS,0.5034734580837458,0.1906737704369879,0.41358517679172,8,3,1.1077324053124538
Bojan Bogdanovic,32,2019,RS,0.5219705192719805,0.22531372813990647,0.4448268668813991,10,4,1.192111114293286
Bojan Bogdanovic,32,2021,RS,0.45736049354718145,0.11544775682009747,0.37584347182096745,13,5,0.9486517221882463
Bojan Bogdanovic,32,2022,RS,0.44446998106112956,0.0968895806590132,0.35873370163153023,15,6,0.900093263351673
Bones Hyland,21,2022,RS,0.5500234741207566,0.17098267250831012,0.4660747024085549,2,1,1.1870808490376217
Brandon Clarke,25,2021,RS,0.5236341992429883,0.15589814274567,0.4383866921430757,3,1,1.117919034131734
Brandon Clarke,25,2022,RS,0.6080243282540844,0.2105059401609139,0.5305948170896649,5,2,1.3491250855046633
Brandon Ingram,24,2022,RS,0.5231221152766891,0.18352922190194004,0.42882852792746723,7,1,1.1354798651060964
Bruce Brown,25,2019,RS,0.5053590692929602,0.14160302884243872,0.3904864687318057,2,1,1.0374485668672047
Bruce Brown,25,2021,RS,0.5500159873633178,0.18120011806951003,0.5003509249710033,5,2,1.231567030403831
Bruce Brown,25,2022,RS,0.5409992206049882,0.19648973983047038,0.4926858713440493,7,3,1.2301748317795078
Caleb Martin,26,2022,RS,0.5965674443162476,0.2146396937140603,0.5423963329552437,4,1,1.3536034709855516
Cam Thomas,20,2022,RS,0.37668913525850845,0.03581104650882126,0.2869722913511766,2,1,0.6994724731185062
Cameron Johnson,25,2021,RS,0.5567418520459732,0.18627266078326987,0.47672575669536876,3,1,1.2197402695246118
Cameron Johnson,25,2022,RS,0.6102252672766958,0.2679988068023831,0.5392337730806739,5,2,1.4174578471597528
Cameron Payne,27,2016,RS,0.44196222474880414,0.07733399398047197,0.41347961562980795,2,1,0.9327758343590841
Cameron Payne,27,2017,RS,0.257854011074037,0.05492907056356606,0.17568360200960365,4,2,0.4884666836472067
Cameron Payne,27,2021,RS,0.6512738955435454,0.21882524937091424,0.5686539238080539,11,3,1.4387530687225136
Cameron Payne,27,2022,RS,0.548365330530196,0.16754288350262558,0.46403073655434096,13,4,1.1799389505871625
Chris Boucher,29,2019,RS,0.4496885794012306,0.07215284264137767,0.44108435013816544,3,1,0.9629257721807736
Chris Boucher,29,2020,RS,0.644938723577277,0.180809236599824,0.5989627536912422,5,2,1.4247107138683432
Chris Boucher,29,2022,RS,0.5372322960428062,0.18683803457463038,0.4850388523947589,8,3,1.2091091830121954
Chris Paul,36,2014,RS,0.8736043883151121,0.6713280356109139,0.8507061518241569,2,1,2.395638575750183
Chris Paul,36,2015,RS,0.8602834998667027,0.8331963434515043,0.8498871034996212,4,2,2.5433669468178284
Chris Paul,36,2016,RS,0.8094439707100811,0.6419367404500111,0.794019857029127,6,3,2.2454005681892193
Chris Paul,36,2017,RS,0.8059756854468257,0.5182471040725046,0.7990235895705722,8,4,2.1232463790899025
Chris Paul,36,2018,RS,0.7965251114267609,0.4880139106616892,0.7853778036245593,10,5,2.069916825713009
Chris Paul,36,2019,RS,0.6579011640219058,0.336989376659959,0.6610361779990696,12,6,1.6559267186809343
Chris Paul,36,2020,RS,0.6603410531441604,0.3889986751663288,0.6179156896991075,14,7,1.6672554180095966
Chris Paul,36,2021,RS,0.6167654413480442,0.32938102286921733,0.5698010270175011,16,8,1.5159474912347628
Chris Paul,36,2022,RS,0.6330216778430162,0.3427037631745643,0.6098875038036154,18,9,1.585612944821196
Clint Capela,27,2015,RS,0.3830947579615932,0.0672525085941969,0.2867202068831148,2,1,0.7370674734389049
Clint Capela,27,2016,RS,0.5631090447495706,0.19566436736071405,0.494854141294412,4,2,1.2536275534046966
Clint Capela,27,2017,RS,0.5368101860314047,0.17687432992420754,0.5130519162805063,6,3,1.2267364322361185
Clint Capela,27,2018,RS,0.6106171410118831,0.3015151891543867,0.6122220002448866,8,4,1.5243543304111564
