Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kentavious Caldwell-Pope,SG,29,DEN,20,671,11.3,0.598,0.568,0.216,2.5,8.5,5.6,6.0,2.0,1.7,7.8,12.9,0.8,0.9,1.6,0.117,-1.4,1.3,-0.1,0.3
Vlatko Čančar,PF,25,DEN,5,10,-13.1,0.0,0.8,0.0,0.0,33.7,17.5,11.4,0.0,0.0,0.0,22.5,-0.1,0.0,-0.1,-0.427,-15.2,-5.7,-20.9,0.0
Clint Capela,C,28,ATL,6,151,16.5,0.615,0.0,0.158,9.8,27.6,17.9,2.6,1.9,1.9,9.0,12.2,0.2,0.1,0.3,0.103,0.4,-0.6,-0.2,0.1
Jevon Carter,PG,27,MIL,4,49,2.6,0.278,0.778,0.0,0.0,9.6,4.6,9.5,1.0,0.0,0.0,7.7,0.0,0.0,0.0,-0.04,-6.0,-1.8,-7.7,-0.1
Justin Champagnie,SF,21,BOS,4,10,-7.4,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,-0.213,-15.3,-4.0,-19.2,0.0
Max Christie,SG,19,LAL,9,33,15.6,0.553,0.4,0.4,3.4,18.3,11.3,13.0,0.0,2.7,0.0,15.7,0.1,0.0,0.1,0.133,0.9,1.1,2.0,0.0
Nic Claxton,C,23,BRK,4,117,18.5,0.714,0.0,0.4,5.0,26.1,15.7,9.2,0.5,5.5,9.3,13.6,0.3,0.2,0.4,0.172,0.9,2.5,3.5,0.2
Amir Coffey,SF,25,LAC,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.048,-3.7,-1.8,-5.5,0.0
John Collins,PF,25,ATL,6,164,10.1,0.543,0.533,0.1,4.2,13.8,8.6,4.0,0.6,3.4,12.6,18.0,0.0,0.0,0.0,-0.007,-2.3,-1.1,-3.5,-0.1
Mike Conley,PG,35,MIN,5,183,13.3,0.64,0.524,0.262,1.2,7.2,4.1,26.4,0.8,0.0,13.0,13.6,0.4,0.0,0.4,0.097,0.7,-0.1,0.6,0.1
Pat Connaughton,SF,30,MIL,4,88,21.3,0.756,0.767,0.133,4.9,21.4,12.8,11.3,2.1,1.0,5.9,16.1,0.3,0.1,0.4,0.209,4.4,2.9,7.3,0.2
Robert Covington,PF,32,LAC,2,12,-1.9,0.0,0.667,0.0,0.0,20.6,9.7,19.6,0.0,6.3,0.0,10.5,0.0,0.0,0.0,-0.174,-9.0,1.4,-7.6,0.0
Torrey Craig,PF,32,PHO,11,183,14.1,0.725,0.556,0.2,4.6,11.2,8.0,4.3,1.3,0.9,5.8,12.5,0.5,0.0,0.5,0.131,1.0,0.9,1.8,0.2
Jae Crowder,PF,32,MIL,4,41,0.0,0.252,0.462,0.154,2.6,8.6,5.5,8.9,2.3,0.0,6.7,15.3,-0.1,0.0,-0.1,-0.132,-9.3,-2.5,-11.8,-0.1
Seth Curry,SG,32,BRK,3,58,13.8,0.615,0.474,0.158,0.0,5.8,3.0,19.3,0.0,0.0,4.7,18.1,0.1,0.0,0.1,0.075,1.3,-0.4,0.9,0.0
Stephen Curry,PG,34,GSW,13,493,20.4,0.588,0.505,0.186,1.9,12.3,7.0,27.7,1.3,1.0,11.1,31.6,0.9,0.5,1.3,0.131,6.1,0.4,6.5,1.1
Anthony Davis,C,29,LAL,16,608,24.0,0.599,0.059,0.425,7.0,30.9,19.7,10.7,1.8,7.4,10.1,24.2,1.1,1.4,2.6,0.202,2.8,3.0,5.7,1.2
Terence Davis,SG,25,SAC,4,58,10.2,0.575,0.85,0.1,3.4,12.7,7.9,14.4,0.8,0.0,8.7,15.6,0.1,0.0,0.1,0.114,-0.9,1.6,0.7,0.0
Dewayne Dedmon,C,33,PHI,1,5,-20.0,0.0,1.0,0.0,0.0,23.9,11.7,0.0,0.0,0.0,50.0,18.5,-0.1,0.0,-0.1,-0.494,-21.7,-5.9,-27.6,0.0
Spencer Dinwiddie,PG,29,BRK,4,159,12.8,0.544,0.353,0.431,0.7,8.5,4.7,28.7,1.7,0.6,16.5,22.5,0.0,0.1,0.1,0.018,-0.8,-0.5,-1.3,0.0
Donte DiVincenzo,SG,26,GSW,13,235,10.4,0.512,0.688,0.188,4.8,12.5,8.6,19.9,2.2,1.1,19.7,15.1,0.0,0.3,0.3,0.06,-1.8,1.9,0.1,0.1
PJ Dozier,SF,26,SAC,3,6,40.9,0.667,0.667,0.0,16.5,17.5,17.0,0.0,0.0,0.0,0.0,39.7,0.0,0.0,0.0,0.281,23.1,1.1,24.1,0.0
Goran Dragić,PG,36,MIL,2,7,16.4,0.532,0.5,2.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,22.6,0.0,0.0,0.0,0.156,-0.4,-3.1,-3.5,0.0
David Duke Jr.,SG,23,BRK,1,5,-15.4,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.4,-0.1,0.0,-0.1,-0.614,-24.8,-12.5,-37.3,0.0
Kevin Durant,PF,34,PHO,11,466,21.1,0.599,0.228,0.429,1.8,21.8,12.0,19.6,1.0,2.7,12.8,28.8,0.9,0.2,1.1,0.114,3.7,0.9,4.6,0.8
Anthony Edwards,SG,21,MIN,5,199,27.5,0.602,0.377,0.342,1.7,13.2,7.3,26.4,2.3,4.4,5.7,32.3,0.6,0.2,0.8,0.19,7.3,3.2,10.4,0.6
Kessler Edwards,SF,22,SAC,6,7,1.7,,,,0.0,15.0,7.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.026,-5.8,-0.3,-6.2,0.0
Joel Embiid,C,28,PHI,9,336,20.3,0.561,0.183,0.549,5.4,25.6,15.3,12.7,0.9,8.1,15.6,31.0,0.1,0.5,0.6,0.09,0.9,1.0,1.9,0.3
Dorian Finney-Smith,PF,29,BRK,4,101,8.5,0.543,0.739,0.0,7.0,13.4,10.2,4.8,1.6,1.8,17.9,13.6,-0.1,0.1,0.0,0.009,-2.1,0.9,-1.2,0.0
De'Aaron Fox,PG,25,SAC,7,270,18.9,0.524,0.382,0.248,4.4,10.1,7.2,33.6,2.6,1.4,13.3,31.0,0.2,0.3,0.5,0.092,4.0,1.0,5.0,0.5
Wenyen Gabriel,C,25,LAL,10,37,12.0,0.442,0.0,0.3,24.4,2.7,12.9,0.0,2.6,7.3,15.0,15.8,0.0,0.1,0.1,0.077,-6.2,-0.3,-6.4,0.0
Darius Garland,PG,23,CLE,5,189,13.3,0.566,0.388,0.313,0.0,5.3,2.8,24.1,2.2,0.5,16.5,27.0,0.0,0.2,0.2,0.056,0.7,0.5,1.2,0.2
Rudy Gobert,C,30,MIN,5,177,18.2,0.648,0.0,0.587,11.6,29.0,20.1,9.3,0.6,2.5,12.1,17.2,0.4,0.1,0.5,0.145,-0.3,0.7,0.3,0.1
Aaron Gordon,PF,27,DEN,20,713,14.1,0.588,0.236,0.354,8.3,11.2,9.8,9.9,0.8,1.6,8.2,15.5,1.4,0.7,2.1,0.142,0.4,-0.6,-0.2,0.3
